resource_name,resource_type
PRO_UNIT4,SCLE90
PRO_UNIT5,SCLE90
PRO_UNIT6,SCLE90
PRO_UNIT7,SCLE90
PRO_UNIT8,SCLE90
PRSPERO2_UNIT1,PVGR
PRSPERO2_UNIT2,PVGR
PR_PR_G2,GSREH
PSA_CC1_3,CCLE90
PSG_CC1_2,CCGT90
PTLBES_BESS1,PWRSTR
PYR_ESS,PWRSTR
PYR_ESS2A,PWRSTR
PYR_ESS2B,PWRSTR
PYR_PYRON1,WIND
PYR_PYRON2,WIND
QALSW_CC1_1,CCGT90
QALSW_CC2_1,CCGT90
QUEEN_BA_BESS1,PWRSTR
QUEEN_SL_SOLAR1,PVGR
QUEEN_SL_SOLAR2,PVGR
QUEEN_SL_SOLAR3,PVGR
QUEEN_SL_SOLAR4,PVGR
RAB_UNIT1,SCLE90
RAB_UNIT2,SCLE90
RAB_UNIT3,SCLE90
RAB_UNIT4,SCLE90
RAB_UNIT5,SCLE90
RAB_UNIT6,SCLE90
RAB_UNIT7,SCLE90
RAB_UNIT8,SCLE90
RADN_SLR_UNIT1,PVGR
RADN_SLR_UNIT2,PVGR
RAMBLER_UNIT1,PVGR
RANCHERO_UNIT1,WIND
RANCHERO_UNIT2,WIND
RATLIFF_SOLAR1,PVGR
RAYBURN_CC1_1,CCLE90
RDCANYON_RDCNY1,WIND
REDBARN_UNIT_1,PVGR
REDBARN_UNIT_2,PVGR
REDFISH_MV1A,WIND
REDFISH_MV1B,WIND
REDGATE_AGR_A,DSL
REDGATE_AGR_B,DSL
REDGATE_AGR_C,DSL
REDGATE_AGR_D,DSL
RELOJ_UNIT1,WIND
RELOJ_UNIT2,WIND
RELOJ_UNIT3,WIND
RELOJ_UNIT4,WIND
REROCK_UNIT1,PVGR
REROCK_UNIT2,PVGR
RHESS2_ESS_1,PWRSTR
RIGGINS_UNIT1,PVGR
RIONOG_CC1_6,CCGT90
RIPPEY_UNIT1,PVGR
ROSELAND_BESS1,PWRSTR
ROSELAND_SOLAR1,PVGR
ROSELAND_SOLAR2,PVGR
ROSELAND_SOLAR3,""
ROUTE_66_WIND1,WIND
ROW_UNIT1,PVGR
RPUBRDS_ESS1,PWRSTR
RSNAKE_G1,WIND
RSNAKE_G2,WIND
RTLSNAKE_BESS,PWRSTR
RTS2_U1,WIND
RTS2_U2,WIND
RTS_U1,WIND
RVRVLYS_ESS1,PWRSTR
RVRVLYS_ESS2,PWRSTR
SADLBACK_BESS,PWRSTR
SAGEDRAW_UNIT1,WIND
SAGEDRAW_UNIT2,WIND
SALTFORK_UNIT1,WIND
SALTFORK_UNIT2,WIND
SALVTION_UNIT1,WIND
SALVTION_UNIT2,WIND
SAMSON_1_G1,PVGR
SAMSON_1_G2,PVGR
SAMSON_3_G1,PVGR
SAMSON_3_G2,PVGR
SANDHSYD_CC1_2,CCGT90
SANDHSYD_SH1,SCLE90
SANDHSYD_SH2,SCLE90
SANDHSYD_SH3,SCLE90
SANDHSYD_SH4,SCLE90
SANDHSYD_SH6,SCLE90
SANDHSYD_SH7,SCLE90
SANMIGL_G1,CLLIG
SANROMAN_WIND_1,WIND
SANTACRU_UNIT1,WIND
SANTACRU_UNIT2,WIND
SBEAN_BESS,PWRSTR
SBE_UNIT1,PVGR
SCES_UNIT1_J01,CLLIG
SCES_UNIT1_J02,CLLIG
SCES_UNIT1_J03,CLLIG
SCES_UNIT1_J04,CLLIG
SCLPCOGN_SCLPC_1,SCGT90
SCLPCOGN_SCLPC_2,SCGT90
SCLPCOGN_SCLPC_3,SCGT90
SCLPCOGN_SCLPC_4,SCGT90
SCSES_UNIT1A,GSREH
SCSES_UNIT2,GSREH
SENATEWD_UNIT1,WIND
SGMTN_SIGNALM2,WIND
SGMTN_SIGNALMT,WIND
SGSA_BESS1,PWRSTR
SHAFFER_UNIT1,WIND
SHANNONW_UNIT_1,WIND
SILASRAY_CC1_1,CCLE90
SILASRAY_SILAS_10,SCLE90
SIRIUS_UNIT1,PVGR
SIRIUS_UNIT2,PVGR
SJS_SJS_G1,SCLE90
SJS_SJS_G2,SCLE90
SKY1_SKY1A,DSL
SKY1_SKY1B,DSL
SLCNHLS_ESS1,PWRSTR
SLCNHLS_ESS2,PWRSTR
SL_SL_G1,SCLE90
SL_SL_G2,SCLE90
SL_SL_G3,GSNONR
SL_SL_G4,GSNONR
SNY_BESS_UNIT1,PWRSTR
SOLARA_UNIT1,PVGR
SPARTA_UNIT1,PVGR
SPARTA_UNIT2,PVGR
SPLAIN1_WIND1,WIND
SPLAIN1_WIND2,WIND
SPLAIN2_WIND21,WIND
SPLAIN2_WIND22,WIND
SPTX12B_BES1,PWRSTR
SPTX12B_UNIT1,PVGR
SRWE1_SRWE2,WIND
SRWE1_UNIT1,WIND
SSPURTWO_SS3WIND1,WIND
SSPURTWO_SS3WIND2,WIND
SSPURTWO_WIND_1,""
STAM_SLR_BESS1,PWRSTR
STAM_SLR_SOLAR1,PVGR
